Source,Package name,Package ID,ISBN,Book Title,Year,ISSN,Series Title,Volume,Imprint,Editor(s)/Author(s),Available Online,Shortcut URL
S&T,eBook - Computer Science 2011,EBCCS11,9780123859631,GPU Computing Gems Jade Edition,2011,,Applications of GPU Computing Series,,Morgan Kaufmann,Wen-mei W. Hwu,30-Nov-2011,http://www.sciencedirect.com/science/book/9780123859631
S&T,eBook - Energy 2011,EBCEN11,9780123864529,Smart Grid,2012,,,,Academic Press,Fereidoon P. Sioshansi,30-Nov-2011,http://www.sciencedirect.com/science/book/9780123864529
S&T,eBook - Materials Science 2011,EBCMS11,9781437778175,Ceramic Thick Films for MEMS and Microdevices,2011,,Micro and Nano Technologies,,William Andrew Publishing,Robert A. Dorey,30-Nov-2011,http://www.sciencedirect.com/science/book/9781437778175
S&T,eBook - Neuroscience 2011,EBCN11,9780123859730,Addiction Neuroethics,2012,,,,Academic Press,"Adrian Carter, Wayne Hall and Judy Illes",30-Nov-2011,http://www.sciencedirect.com/science/book/9780123859730
S&T,eBook - Neuroscience 2011,EBCN11,9780123814319,Neuroscience of Preference and Choice,2012,,,,Academic Press,Raymond J. Dolan and Tali Sharot,30-Nov-2011,http://www.sciencedirect.com/science/book/9780123814319
S&T,eBook - Neuroscience 2011,EBCN11,9780123694973,The Mouse Nervous System,2012,,,,Academic Press,"Charles Watson, George Paxinos and Luis Puelles",30-Nov-2011,http://www.sciencedirect.com/science/book/9780123694973
S&T,"eBook - Biochemistry, Genetics and Molecular Biology 2011",EBCBGMB11,9780124158313,Epigenetic Principles of Evolution,2012,,,,Elsevier,Nelson R. Cabej,30-Nov-2011,http://www.sciencedirect.com/science/book/9780124158313
S&T,eBook - Chemistry 2011,EBCC11,9780124160170,Handbook of Solid Phase Microextraction,2012,,,,Elsevier,Janusz Pawliszyn,30-Nov-2011,http://www.sciencedirect.com/science/book/9780124160170
S&T,eBook - Mathematics 2011,EBCM11,9780444529367,Inductive Logic,2011,1874-5857,Handbook of the History of Logic,10C,North-Holland,"Dov M. Gabbay, Stephan Hartmann, John Woods",30-May-2011,http://www.sciencedirect.com/science/book/9780444529367
S&T,eBook - Chemical Engineering 2011,EBCCE11,9780444537904,Handbook of Benzoxazine Resins,2011,,,,Elsevier,Hatsuo Ishida And Tarek Agag,30-Jun-2011,http://www.sciencedirect.com/science/book/9780444537904
S&T,eBook - Engineering 2011,EBCE11,9780080969022,"Reliability, Maintainability and Risk (Eighth Edition)",2011,,,,Butterworth-Heinemann,David J. Smith,30-Jun-2011,http://www.sciencedirect.com/science/book/9780080969022
S&T,eBook - Engineering 2011,EBCE11,9780123860279,Streamline Numerical Well Test Interpretation,2011,,,,Gulf Professional Publishing,Yao Jun,30-Jun-2011,http://www.sciencedirect.com/science/book/9780123860279
S&T,eBook - Earth and Planetary Sciences 2011,EBCEPS11,9780123878212,Explorations into a Dynamic Process-Oriented Soil Science,2011,,,,Elsevier,Douglas Frink,30-Jun-2011,http://www.sciencedirect.com/science/book/9780123878212
S&T,eBook - Finance 2011,EBCF11,9780123852397,The Four Colors of Business Growth,2011,,,,Academic Press,Anjan V. Thakor,30-Jun-2011,http://www.sciencedirect.com/science/book/9780123852397
